GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,edu.nmsu.cs.scoring,RacingScore2,151,0,26,0,42,0,17,0,4,0
JaCoCo Ant Example,edu.nmsu.cs.scoring,RacingScore1,103,0,6,0,30,0,7,0,4,0
